IngredientId;IngredientName
1;Crispy Crust
2;Savory Tomato Sauce
3;Pepperoni
4;Mozzarella Cheese
5;Bell Peppers
6;Thin Crust
7;DotNet Special Sauce
8;Italian Sausage
9;Fresh Basil
10;Parmesan Cheese
11;Classic Crust
12;Rich Tomato Sauce
13;Extra Pepperoni
14;Red Onions (Sliced)
15;Fresh Tomato Slices
16;Basil Sauce
17;Fresh Mozzarella Cheese
18;Hand-Tossed Crust
19;Pineapple Chunks
20;Ham Slices
21;BBQ Hot Sauce
22;Garlic Butter Crust
23;Garlic Cloves
24;Parsley
25;Crunchy Crust
26;Pesto Sauce
27;Cherry Tomatoes
28;Pine Nuts
29;Thick Crust
30;Creamy Alfredo Sauce
31;Double Mozzarella Cheese
32;Cheddar Cheese
33;Bacon Bits
34;BBQ Sauce
35;Grilled Chicken
36;Jalapeños
37;Sweet Dough
38;Chocolate Sauce
39;Marshmallows
40;Graham Cracker Crumbs
41;Caramel Drizzle
